symbol,companyName,sector,exchange,startingPrice
MAXHEALTH,Max Healthcare Institute,Healthcare,NSE,850.0
METROPOLIS,Metropolis Healthcare,Healthcare,NSE,1850.0
LALPATHLAB,Dr Lal PathLabs,Healthcare,NSE,2650.0
PAGEIND,Page Industries,Textiles,NSE,38000.0
RAYMOND,Raymond Ltd,Textiles,NSE,1850.0
HAL,Hindustan Aeronautics,Defence,NSE,4200.0
BEL,Bharat Electronics,Defence,NSE,280.0
BEML,BEML Ltd,Defence,NSE,3650.0
MAZDOCK,Mazagon Dock Shipbuilders,Defence,NSE,4200.0
SCI,Shipping Corporation of India,Shipping,NSE,210.0
BATAINDIA,Bata India,Retail,NSE,1450.0
MANAPPURAM,Manappuram Finance,NBFC,NSE,185.0
CUB,City Union Bank,Banking,NSE,165.0
CDSL,Central Depository Services,Financial Services,NSE,1650.0
BSE,BSE Ltd,Financial Services,NSE,2850.0
MCX,Multi Commodity Exchange,Financial Services,NSE,4200.0
CAMS,Computer Age Management Services,Financial Services,NSE,3650.0
ANGELONE,Angel One Ltd,Financial Services,NSE,2650.0
INDIAMART,IndiaMART InterMESH,New Age Tech,NSE,2650.0
JUSTDIAL,Just Dial Ltd,New Age Tech,NSE,980.0
TATAELXSI,Tata Elxsi Ltd,IT,NSE,6800.0
CYIENT,Cyient Ltd,IT,NSE,1650.0
HEXAWARE,Hexaware Technologies,IT,NSE,650.0
AAPL,Apple Inc.,Technology,NASDAQ,229.52
MSFT,Microsoft Corp,Technology,NASDAQ,511.4
GOOGL,Alphabet Inc.,Technology,NASDAQ,178.0
AMZN,Amazon.com Inc.,Technology,NASDAQ,210.0
META,Meta Platforms Inc.,Technology,NASDAQ,590.0
NVDA,NVIDIA Corp,Technology,NASDAQ,135.0
TSLA,Tesla Inc.,Automobile,NASDAQ,287.07
ORCL,Oracle Corp,Technology,NASDAQ,175.0
ADBE,Adobe Inc.,Technology,NASDAQ,480.0
CRM,Salesforce Inc.,Technology,NASDAQ,300.0
INTC,Intel Corp,Technology,NASDAQ,32.0
AMD,Advanced Micro Devices,Technology,NASDAQ,145.0
CSCO,Cisco Systems,Technology,NASDAQ,58.0
IBM,IBM Corp,Technology,NYSE,190.0
QCOM,Qualcomm Inc.,Technology,NASDAQ,165.0
TXN,Texas Instruments,Technology,NASDAQ,195.0
AVGO,Broadcom Inc.,Technology,NASDAQ,165.0
NFLX,Netflix Inc.,Technology,NASDAQ,680.0
PYPL,PayPal Holdings,Technology,NASDAQ,78.0
UBER,Uber Technologies,Technology,NASDAQ,72.0
JPM,JPMorgan Chase & Co,Finance,NYSE,210.0
BAC,Bank of America,Finance,NYSE,40.0
WFC,Wells Fargo & Co,Finance,NYSE,58.0
GS,Goldman Sachs Group,Finance,NYSE,480.0
MS,Morgan Stanley,Finance,NYSE,105.0
C,Citigroup Inc.,Finance,NYSE,65.0
AXP,American Express,Finance,NYSE,250.0
BLK,BlackRock Inc.,Finance,NYSE,850.0
SCHW,Charles Schwab Corp,Finance,NYSE,70.0
V,Visa Inc.,Finance,NYSE,280.0
MA,Mastercard Inc.,Finance,NYSE,460.0
USB,US Bancorp,Finance,NYSE,45.0
PNC,PNC Financial Services,Finance,NYSE,165.0
TFC,Truist Financial,Finance,NYSE,40.0
WMT,Walmart Inc.,Retail,NYSE,78.0
COST,Costco Wholesale,Retail,NASDAQ,900.0
TGT,Target Corp,Retail,NYSE,145.0
HD,Home Depot Inc.,Retail,NYSE,390.0
LOW,Lowes Companies,Retail,NYSE,240.0
NKE,Nike Inc.,Retail,NYSE,78.0
SBUX,Starbucks Corp,Retail,NASDAQ,95.0
MCD,McDonalds Corp,Retail,NYSE,295.0
KO,Coca-Cola Co,Consumer Goods,NYSE,65.0
PEP,PepsiCo Inc.,Consumer Goods,NYSE,165.0
PG,Procter & Gamble,Consumer Goods,NYSE,165.0
CL,Colgate-Palmolive,Consumer Goods,NYSE,95.0
KMB,Kimberly-Clark Corp,Consumer Goods,NYSE,135.0
EL,Estee Lauder Companies,Consumer Goods,NYSE,70.0
MO,Altria Group,Consumer Goods,NYSE,55.0
F,Ford Motor Co,Automobile,NYSE,11.0
GM,General Motors Co,Automobile,NYSE,52.0
TM,Toyota Motor Corp,Automobile,NYSE,190.0
HMC,Honda Motor Co,Automobile,NYSE,32.0
STLA,Stellantis NV,Automobile,NYSE,13.0
RIVN,Rivian Automotive,Automobile,NYSE,13.0
LCID,Lucid Group,Automobile,NYSE,3.0
JNJ,Johnson & Johnson,Healthcare,NYSE,155.0
PFE,Pfizer Inc.,Healthcare,NYSE,26.0
MRK,Merck & Co,Healthcare,NYSE,95.0
ABBV,AbbVie Inc.,Healthcare,NYSE,185.0
LLY,Eli Lilly & Co,Healthcare,NYSE,850.0
BMY,Bristol-Myers Squibb,Healthcare,NYSE,55.0
UNH,UnitedHealth Group,Healthcare,NYSE,520.0
CVS,CVS Health Corp,Healthcare,NYSE,65.0
ABT,Abbott Laboratories,Healthcare,NYSE,115.0
TMO,Thermo Fisher Scientific,Healthcare,NYSE,550.0
GILD,Gilead Sciences,Healthcare,NYSE,95.0
AMGN,Amgen Inc.,Healthcare,NYSE,290.0
XOM,Exxon Mobil Corp,Energy,NYSE,115.0
CVX,Chevron Corp,Energy,NYSE,155.0
COP,ConocoPhillips,Energy,NYSE,105.0
SLB,Schlumberger NV,Energy,NYSE,45.0
OXY,Occidental Petroleum,Energy,NYSE,50.0
EOG,EOG Resources,Energy,NYSE,120.0
BP,BP plc,Energy,NYSE,35.0
SHEL,Shell plc,Energy,NYSE,68.0
GE,General Electric,Industrial,NYSE,190.0
HON,Honeywell International,Industrial,NYSE,210.0
CAT,Caterpillar Inc.,Industrial,NYSE,380.0
BA,Boeing Co,Industrial,NYSE,180.0
LMT,Lockheed Martin,Industrial,NYSE,480.0
RTX,RTX Corp,Industrial,NYSE,120.0
DE,Deere & Co,Industrial,NYSE,390.0
MMM,3M Co,Industrial,NYSE,130.0
UPS,United Parcel Service,Industrial,NYSE,130.0
FDX,FedEx Corp,Industrial,NYSE,280.0
T,AT&T Inc.,Telecom,NYSE,22.0
VZ,Verizon Communications,Telecom,NYSE,40.0
TMUS,T-Mobile US,Telecom,NYSE,225.0
CMCSA,Comcast Corp,Telecom,NYSE,38.0
DIS,Walt Disney Co,Media,NYSE,110.0
DAL,Delta Air Lines,Airlines,NYSE,48.0
UAL,United Airlines Holdings,Airlines,NYSE,65.0
AAL,American Airlines Group,Airlines,NYSE,12.0
LUV,Southwest Airlines,Airlines,NYSE,30.0
STZ,Constellation Brands,Consumer Goods,NYSE,235.0
LULU,Lululemon Athletica,Retail,NASDAQ,280.0
VFC,VF Corp,Retail,NYSE,18.0
EBAY,eBay Inc.,Technology,NASDAQ,65.0
ETSY,Etsy Inc.,Technology,NASDAQ,55.0
TSM,Taiwan Semiconductor,Technology,NASDAQ,190.0
BABA,Alibaba Group,Technology,NYSE,85.0
NVO,Novo Nordisk,Healthcare,NYSE,110.0
ASML,ASML Holding,Technology,NASDAQ,720.0
SAP,SAP SE,Technology,NYSE,230.0
SONY,Sony Group Corp,Technology,NYSE,22.0
HSBC,HSBC Holdings,Finance,NYSE,48.0
RY,Royal Bank of Canada,Finance,NYSE,115.0
GLAND,Gland Pharma,Pharma,NSE,1750.0
GLENMARK,Glenmark Pharmaceuticals,Pharma,NSE,1450.0
IPCALAB,IPCA Laboratories,Pharma,NSE,1550.0
ABBOTINDIA,Abbott India,Pharma,NSE,29000.0
MANKIND,Mankind Pharma,Pharma,NSE,2400.0
LAURUSLABS,Laurus Labs,Pharma,NSE,550.0
GRSE,Garden Reach Shipbuilders,Defence,NSE,1900.0
COCHINSHIP,Cochin Shipyard,Defence,NSE,2200.0
UNIONBANK,Union Bank of India,Banking,NSE,120.0
SJVN,SJVN Ltd,Power,NSE,120.0
ADANIENSOL,Adani Energy Solutions,Power,NSE,950.0
UBL,United Breweries,FMCG,NSE,2100.0
PGHH,Procter & Gamble Hygiene,FMCG,NSE,15000.0
GILLETTE,Gillette India,FMCG,NSE,8500.0
HONAUT,Honeywell Automation India,Capital Goods,NSE,45000.0
MOTHERSON,Samvardhana Motherson,Automobile,NSE,165.0
APOLLOTYRE,Apollo Tyres,Automobile,NSE,480.0
DIXON,Dixon Technologies,Consumer Goods,NSE,13500.0
BLUESTARCO,Blue Star Ltd,Consumer Goods,NSE,1650.0
WHIRLPOOL,Whirlpool of India,Consumer Goods,NSE,1750.0
KAJARIACER,Kajaria Ceramics,Consumer Goods,NSE,1350.0
POLYCAB,Polycab India,Capital Goods,NSE,6900.0
THERMAX,Thermax Ltd,Capital Goods,NSE,4900.0
CUMMINSIND,Cummins India,Capital Goods,NSE,3400.0
ABB,ABB India,Capital Goods,NSE,6900.0
KEC,KEC International,Infrastructure,NSE,900.0
CONCOR,Container Corp of India,Logistics,NSE,900.0
BLUEDART,Blue Dart Express,Logistics,NSE,7500.0
GATI,Gati Ltd,Logistics,NSE,80.0
VRLLOG,VRL Logistics,Logistics,NSE,550.0
SOBHA,Sobha Ltd,Realty,NSE,1650.0
BRIGADE,Brigade Enterprises,Realty,NSE,1100.0
NIACL,New India Assurance,Insurance,NSE,220.0
GICRE,General Insurance Corp,Insurance,NSE,400.0
STARHEALTH,Star Health Insurance,Insurance,NSE,600.0
HDFCAMC,HDFC Asset Management,Finance,NSE,4000.0
SHRIRAMFIN,Shriram Finance,Finance,NSE,3000.0
LICHSGFIN,LIC Housing Finance,Finance,NSE,650.0
IRFC,Indian Railway Finance Corp,Finance,NSE,150.0
SBICARD,SBI Cards & Payments,Finance,NSE,750.0
M&MFIN,Mahindra & Mahindra Finance,Finance,NSE,280.0
PNBHOUSING,PNB Housing Finance,Finance,NSE,900.0
JUBLFOOD,Jubilant FoodWorks,Retail,NSE,650.0
PIIND,PI Industries,Chemicals,NSE,3500.0
TATACHEM,Tata Chemicals,Chemicals,NSE,1050.0
COROMANDEL,Coromandel International,Chemicals,NSE,1450.0
NAVINFLUOR,Navin Fluorine,Chemicals,NSE,3400.0
ARVIND,Arvind Ltd,Textiles,NSE,400.0
WELSPUNIND,Welspun Living,Textiles,NSE,150.0
TRIDENT,Trident Ltd,Textiles,NSE,38.0
IEX,Indian Energy Exchange,Finance,NSE,180.0
JIOFIN,Jio Financial Services,Finance,NSE,330.0
TATACOMM,Tata Communications,Telecom,NSE,1800.0
PANW,Palo Alto Networks,Technology,NASDAQ,320.0
CRWD,CrowdStrike Holdings,Technology,NASDAQ,300.0
SNOW,Snowflake Inc.,Technology,NYSE,120.0
NET,Cloudflare Inc.,Technology,NYSE,90.0
DDOG,Datadog Inc.,Technology,NASDAQ,110.0
MDB,MongoDB Inc.,Technology,NASDAQ,250.0
PLTR,Palantir Technologies,Technology,NASDAQ,45.0
RBLX,Roblox Corporation,Technology,NYSE,40.0
DELL,Dell Technologies,Technology,NYSE,90.0
HPQ,HP Inc.,Technology,NYSE,32.0
COF,Capital One Financial,Finance,NYSE,150.0
AIG,American International Group,Finance,NYSE,80.0
MET,MetLife Inc.,Finance,NYSE,80.0
PRU,Prudential Financial,Finance,NYSE,110.0
PM,Philip Morris International,Consumer Goods,NYSE,120.0
WBD,Warner Bros Discovery,Media,NASDAQ,10.0
PARA,Paramount Global,Media,NASDAQ,12.0
YUM,Yum Brands Inc.,Retail,NYSE,135.0
NIO,NIO Inc,Automobile,NYSE,5.0
JD,JD.com Inc,Technology,NASDAQ,32.0
PDD,PDD Holdings,Technology,NASDAQ,120.0
UL,Unilever PLC,FMCG,NYSE,58.0
NSRGY,Nestle SA,FMCG,NYSE,95.0
DEO,Diageo plc,FMCG,NYSE,130.0
BUD,Anheuser-Busch InBev,FMCG,NYSE,60.0
NVS,Novartis AG,Healthcare,NYSE,110.0
AZN,AstraZeneca PLC,Healthcare,NASDAQ,75.0
SNY,Sanofi SA,Healthcare,NASDAQ,55.0
TTE,TotalEnergies SE,Energy,NYSE,65.0
